15	4	-7	-6	0	4	0	-7	-3	-6	2	3	-7	6	7	-4	-1	9	7	-2
-6	-8	9	8	2	-6	-7	-9	3	7	5	-9	-3	9	0	1	0	-6	8	-6
-8	8	-4	-3	-2	-9	-2	-2	10	-3	-6	-2	1	3	6	-9	-4	5	-2	-4
-4	-9	3	-5	9	-5	6	9	-5	10	1	8	-5	7	-5	-2	9	10	-6	-7
5	2	6	3	2	-6	-3	1	-3	-9	-8	-1	0	-9	-1	1	4	2	-2	9
1	7	-1	-9	-3	-5	-8	2	-1	0	-6	-8	10	4	1	3	5	10	-4	0
4	3	-8	0	-7	-7	-4	10	-8	10	7	8	10	4	2	-7	8	-8	6	10
-3	7	7	1	3	-9	-1	10	-7	-6	1	0	4	0	-1	-4	-2	4	3	6
2	2	6	2	0	-8	-5	6	-6	0	-4	2	7	2	-4	-4	9	0	8	4
7	2	-8	10	-6	5	4	-8	-6	-6	6	-2	9	3	-7	-6	9	-2	9	-3
-9	1	0	-7	3	-1	-6	-5	-3	-3	8	0	-3	-8	3	5	6	9	0	6
0	7	6	-8	4	4	-3	1	-1	-4	-7	0	3	-4	10	8	6	-3	-8	7
2	1	1	-6	-8	-2	9	-8	10	0	7	-3	5	3	8	-6	0	-1	-8	9
-3	3	-4	8	-4	1	4	5	0	7	-9	-7	3	3	7	8	-8	7	8	2
5	10	7	6	-7	-9	-5	-9	1	4	6	-5	2	3	10	-6	-4	-7	6	4
2	5	-4	-9	9	-1	-1	9	-2	-1	-3	-3	2	-4	4	2	-1	3	-2	-8
7	-4	-4	-9	-2	-7	-8	6	-8	-7	6	-3	1	-9	7	-5	2	5	-1	3
1	8	-7	-4	-6	8	5	3	10	-6	1	5	-7	-5	0	4	1	10	-6	10
8	5	-6	4	0	-4	-3	-9	10	-1	5	-4	0	-1	-9	-8	7	-9	-5	-2
9	7	9	-5	-3	3	-6	3	-2	-1	1	-8	2	2	9	1	8	-6	-4	-9
