IATA,Terminal
MBB,Air Manas
MBC,Airjet Exploracao Aerea De Carga
MBV,Aeriantur-M
MCB,Air Mercia
MCD,Air Medical
MCO,Aerolineas Marcos
MDC,Atlantic Aero and Mid-Atlantic Freight
MDG,Air Madagascar
MDX,Aerosud Charter
MEF,Air Meridan
MFL,Aero McFly
MGE,Asia Pacific Airlines
MGS,Aeromagar
MIE,Aero Premier De Mexico
MLD,Air Moldova
MLF,Amal Airlines
MLI,Air Mali
MLN,Air Madeleine
MMC,Aermarche
MMD,Air Alsie
MMM,Aviation Company Meridian
MMP,AMP Incorporated
MMX,Airmax
MNE,Aerolineas Amanecer
MNG,Aero Mongolia
MOC,Air Monarch Cargo
MOP,Aeropublicitaria De Angola
MOR,Aerolineas De Morelia
MPD,Air Plus Comet
MPX,Aeromexpress
MQT,Air ITM
MRL,Aeromorelos
MRM,Aerocharter
MRP,Abas
MRT,Air Mauritanie
MSC,Air Cairo
MSK,Air Sport
MSM,Aeromas
MSO,Aerol
MSV,Aero-Kamov
MTB,Aerotaxis Metropolitanos
MTE,Aeromet Linea Aerea
MTK,Air Metack
MTY,Air Montegomery
MXO,Aerotaxi Mexicano
MYS,Aero Yaqui Mayo
MZK,AVC Airlines
MZL,Aerovias Montes Azules
,Aeroland Airways
,Astair
NBK,Albarka Air
NCL,ACA-Ancargo Air Sociedade de Transporte de Carga Lda
NEL,Aero Servicios de Nuevo Laredo
NGV,Angoavia
NID,Aeroni
NIE,Aeroejecutiva Nieto
NIG,Aero Contractors
NKZ,Aerokuzbass
NPT,Atlantic Airlines
NRS,Atlantic Richfield Company
NSO,Aerolineas Sosa
NTD,Aero Norte
NTV,Air Inter Ivoire
NUL,Aeroservicios De Nuevo Leon
NVI,Avial NV Aviation Company
NWG,Airwing
NXA,Air Next
OAO,Arkhangelsk 2 Aviation Division
OGI,Aerogisa
OLV,Aerolineas Olve
OMG,Aeromega
ONR,Air One Nine
ONT,Air Ontario
ORP,Aerocorp
ORS,Action Air
OSN,Aerosan
OSO,Aviapartner Limited Company
PAJ,Aliparma
PBT,Air Parabet
PBU,Air Burundi
PCG,Aeropostal Cargo de Mexico
PCK,Air Pack Express
PCS,Air Palace
PEL,Aeropelican Air Services
PFI,Aerolineas Chihuahua
PFT,Air Cargo Express International
PHR,Al Farana Airline
PHW,Ave.com
PIE,Air South West
PIF,Aeroservicios California Pacifico
PKA,AST Pakistan Airways
PNL,Aero Personal
PNU,Aero Servicios Platinum
POY,Apoyo Aereo
PRI,Aerotransportes Privados
PRT,Atlantic Coast Jet
PRZ,Air Paradise International
PSE,Aeroservicio Sipse
PSL,Aeroservicios Corporativos De San Luis
PVA,Aerotransportes Privados
PZA,Aereo Taxi Paraza
QCL,Air Class Lineas Aereas
QEA,Aviation Consultancy Office
QAT,Aero Taxi
QKC,Aero Taxi Aviation
QLA,Aviation Quebec Labrador
QSC,African Safari Airways
QUI,Aero Quimmco
RAD,Alada
RAI,Aerotur-Air
RAP,Air Center Helicopters
RBE,Aur Rum Benin
RBJ,Aeroserivios Del Bajio
RBU,Airbus France
RBV,Air Roberval
RBX,Arubaexel
RCC,Air Charters Eelde
RCE,Aerocer
RCF,Aeroflot-Cargo
RCH,Air Mobility Command
RCI,Air Cassai
RCO,Aero Renta De Coahuila
RCP,Aerocorp
RCQ,Aerolineas Regionales
RCU,Atlantic S.L.
RCX,Air Service Center
RDD,Adygeya Airlines
RDM,Air Ada
REA,Aer Arann
REN,Aero-Rent
RES,Australian Maritime Safety Authority
REU,Air Austral
REY,Aero-Rey
RFC,Aero Africa
RFD,Aerotransportes Rafilher
RGO,Argo
RGT,Airbourne School of Flying
RHL,Air Archipels
RIF,Aviation Ministry of the Interior of the Russian Federation
RIS,Aeris Gestion
RIT,Asian Spirit
RJS,Aeroservicios Jet
RKA,Air Afrique
RLA,Airlinair
RLK,Air Nelson
RLL,Air Leone
RLN,Aero Lanka
RLZ,Air Alize
RMD,Air Amder
RME,Armenian Airlines
RML,Armenian International Airways
RMO,Arm-Aero
RMX,Air Max
RNE,Air Salone
RNM,Aeronem Air Cargo
RNR,Air Cargo Masters
RNV,Armavia
ROE,Aeroeste
ROH,Aero Gen
ROI,Avior Airlines
ROL,Aeroel Airways
ROM,Aeromar
ROO,Aeroitalia
ROD,Aerodan
RPB,AeroRep
RPC,Aerolineas Del Pacifico
RRC,Aero Roca
RRE,Aerotransportes Internacionales De Torreon
RRM,Acvila Air-Romanian Carrier
RSC,Aerolineas Ejecutivas Tarascas
RSR,Aero-Service
RSU,Aerosur
RTE,Aeronorte
RTH,Artis
RTO,Arhabaev Tourism Airlines
RTQ,Air Turquoise
RTU,Aerotucan
RUD,Air Anastasia
RUM,Air Rum
RUN,ACT Havayollari
RVP,Air VIP
RVT,Aircompany Veteran
RWB,Alliance Express Rwanda
RWC,Arrow Ecuador Arrowec
RWY,Aerogroup 98 Limited
RXT,Aeroxtra
RXX,Express Air Charter
RWS,Air Whitsunday
RZL,Aero Zambia
RZN,Aero Zano
RZZ,Anoka Air Charter
SBH,Aerosaab
SCD,Associated Aviation
SCM,American Jet International
SDO,Air Santo Domingo
SDP,Aero Sudpacifico
SEF,Aero Servicios Ejecutivas Del Pacifico
SER,Aero California
SFM,A-Safar Air Services
SGV,Aerosegovia
SHH,Airshare Holdings
SIY,Aerosiyusa
SIZ,Aero Silza
SJN,Air San Juan
SKP,Aero-North Aviation Services
SMI,Aero Sami
SMJ,Avient Aviation
SOD,Aerolineas Sol
SOE,Air Soleil
SOG,Aero Soga
SPD,Airspeed Aviation
SPJ,Air Service
SPO,Aeroservicios Ejecutivos Del Pacifico
SPY,Asian Aerospace Service
SPZ,Airworld
SQR,Alsaqer Aviation
SRI,Air Safaris and Services
SRV,Aero Servicio Corporativo
SSL,Air Sultan
SSM,Aero 1 Pro-Jet
SSN,Airquarius Air Charter
STK,Aeropac
STT,Air St. Thomas
SUE,Aerolineas Del Sureste
SUY,Aerial Surveys (1980) Limited
SVK,Air Slovakia
SWH,Adler Aviation
SYL,Aircompany Yakutia
SYT,Aerosud Aviation
TAA,Aeroservicios de La Costa
TAO,Aeromar
TBL,Aerotrebol
TBO,Aero Taxi de Los Cabos
TCI,Air Turks and Caicos
TCO,Aerotranscolombina de Carga
TDG,Air Cargo Express
TDT,Atlas Helicopters
TDY,Air Today
TED,Aero Servicios Azteca
TFL,Arkefly
TIR,Antair
TLB,Atlantique Air Assistance
TLD,Aero Taxi Autlan
TLE,Aero Util
TLU,Aero Toluca Internactional
TME,Aero Taxi del Centro de Mexico
TOC,Aerotropical
TOH,Air Tomisko
TOK,Airlines PNG
TON,Aero Tanala
TPB,Aero Tropical
TPC,Air Cal
TPK,Air Horizon
TPO,Aero Taxi del Potosi
TQS,Aeroturquesa
TRH,Airmark Aviation
TRS,AirTran Airways
TSC,Air Transat
TSQ,airtransse
TTB,Aerolineas Turisticas del Caribe
TTE,Avcenter
TUN,Air Tungaru
TWN,Avialeasing Aviation Company
TXD,Aerotaxis del Noroeste
TXF,Aerotaxis Alfe
TXI,Aereotaxis
TYR,Tyrolean Airways
TZA,Aero Tomza
TZT,Air Zambezi
UAG,Afra Airlines
UAR,Aerostar Airlines
UCK,Air Division of the Eastern Kazakhstan Region
UCR,Aero-Charter Ukraine
UED,Air LA
UKR,Air Ukraine
UMB,Air Umbria
UND,Atuneros Unidos de California
FLP,Aeroclub Flaps
GLG,Aerolineas Galapagos (Aerogal)
GLB,Air Castle Corporation / Global Airways
DRU,Alrosa Mirny Air Enterprise
PVO,Bearing Supplies Limited
BAA,Balkan Agro Aviation
BAB,Bahrain Air BSC (Closed)
BAC,BAC Leasing Limited
BAE,BAE Systems
BAF,Belgian Air Force
BAJ,Baker Aviation
BAK,Blackhawk Airways
BAL,Britannia Airways
BAM,Business Air Services
BAN,British Antarctic Survey
BAR,Bradly Air (Charter) Services
BAU,Bissau Airlines
BAV,Bay Aviation Ltd
BAW,British Airways
BAX,Best Aero Handling Ltd
BAY,Bayon Airlines
BBA,Bannert Air
BBC,Biman Bangladesh Airlines
BBD,Bluebird Cargo
BBS,Beibars CJSC
BBV,Bravo Airlines
BBZ,Blue Bird Aviation
BCF,BACH Flugbetriebsges
BCI,Blue Islands
BCL,British Caribbean Airways
BCR,British Charter
BCT,BCT Aviation
BCV,Business Aviation Center
BDA,Blue Dart Aviation
BON,B&H Airlines
BDF,Bissau Discovery Flying Club
AYB,Belgian Army
BDR,Badr Airlines
BEA,Best Aviation Ltd
BED,Belgorod Aviation Enterprise
AJC,Bar Harbor Airlines
BEF,Balear Express
BEH,Bel Air Helicopters
BEK,Berkut Air
BET,BETA - Brazilian Express Transportes Aereos
BFC,Basler Flight Service
BFG,Bear Flight
BFL,Buffalo Airways
BFO,Bombardier
BFR,Burkina Airlines
BFS,Business Flight Sweden
BFW,Bahrain Defence Force
BGH,BH Air
BGI,British Gulf International
BGK,British Gulf International-Fez
BGL,Benin Golf Air
BGM,Bugulma Air Enterprise
BGR,Budget Air Bangladesh
BGT,Bergen Air Transport
BHA,Buddha Air
BHI,Balkh Airlines
BHL,Bristow Helicopters
BHN,Bristow Helicopters Nigeria
BHO,Bhoja Airlines
BHP,Belair Airlines
BHR,Bighorn Airways
BHS,Bahamasair
BHT,Bright Air
,Bringer Air Cargo Taxi Aereo
,Balkan Bulgarian Airlines
,BA Connect
BHY,Bosphorus European Airways
BID,Binair
BIG,Big Island Air
BIH,British International Helicopters
BIL,Billund Air Center
BIN,Boise Interagency Fire Center
BIR,Bird Leasing
BIZ,Bizjet Ltd
BJA,Baja Air
BJC,Baltic Jet Aircompany
BJS,Business Jet Solutions
BKA,Bankair
BKF,BF-Lento OY
BKJ,Barken International
BKP,Bangkok Airways
BKV,Bukovyna
BLB,Blue Bird Aviation
BLC,Bellesavia
BLE,Blue Line
BLF,Blue1
BLG,Belgavia
BLH,Blue Horizon Travel Club
BLJ,Blue Jet
BLL,Baltic Airlines
BLM,Blue Airways
BLN,Bali International Air Service
BLS,Bearskin Lake Air Service
BLT,Baltic Aviation
BLV,Bellview Airlines
BMA,bmi
BMD,British Medical Charter
BME,Briggs Marine Environmental Services
BMH,Bristow Masayu Helicopters
BMI,bmibaby
BMJ,Bemidji Airlines
BML,Bismillah Airlines
BMN,Bowman Aviation
BMR,British Midland Regional
BMW,BMW
BMX,Banco de Mexico
BND,Bond Offshore Helicopters
BNE,Benina Air
BNG,BN Group Limited
BNL,Blue Nile Ethiopia Trading
BNR,Bonair Aviation
BNS,Bancstar - Valley National Corporation
BNT,Bentiu Air Transport
BNV,Benane Aviation Corporation
BNW,British North West Airlines
BOA,Boniair
BOD,Bond Air Services
BOE,Boeing
BOF,Bordaire
BOO,Bookajet Limited
BOU,Bouraq Indonesia Airlines
BPA,Blue Panorama Airlines
BPK,Berkhut ZK
BPO,Bundepolizei-Fliegertruppe
BPS,Budapest Aircraft Services/Manx2
BPT,Bonus Aviation
BPX,British Petroleum Exploration
BRB,BRA-Transportes Aereos
BRD,Brock Air Services
BRE,Breeze Ltd
BRG,Bering Air
BRK,Briansk State Air Enterprise
BRN,Branson Airlines
BRO,BASE Regional Airlines
BRS,Brazilian Air Force
BRT,British Regional Airlines
BRU,Belavia Belarusian Airlines
BRV,Bravo Air Congo
BRW,Bright Aviation Services
BNF,Braniff International Airways
BRX,Buffalo Express Airlines
BRY,Burundayavia
BSC,Bistair - Fez
BSD,Blue Star Airlines
BSI,Brasair Transportes Aereos
BSJ,Blue Swann Aviation
BSM,Blue Sky Aviation
BSS,Bissau Aero Transporte
BST,Best Air
BSW,Blue Sky Airways
BSY,Big Sky Airlines
BTC,BAL Bashkirian Airlines
BTH,Baltijas Helicopters
BTK,Baltyka
BTL,Baltia Air Lines
BTR,Botir-Avia
GAA,Business Express
BTT,BT-Slavuta
BTV,Metro Batavia
BUC,Bulgarian Air Charter
BUL,Blue Airlines
BUN,Buryat Airlines Aircompany
BUZ,Buzz Stansted
BVA,Buffalo Airways
BVC,Bulgarian Aeronautical Centre
BVN,Baron Aviation Services
BVT,Berjaya Air
BVU,Bellview Airlines
BWG,Blue Wings
BWI,Blue Wing Airlines
BWL,BWA (2002) Ltd
BXA,Bahrain Executive Air Services
BXH,Bar XH Air
BXI,Brussels International Airlines
,BAX Global
BXR,Redding Aero Enterprises
BYA,Berry Aviation
BYL,Bylina Joint-Stock Company
BYR,Berytos Airlines
BYE,Bayu Indonesia Air
BZA,Bizair Fluggesellschaft
BZH,Brit Air
BZZ,Butane Buzzard Aviation Corporation
AUJ,Business Flight Salzburg
CKM,BKS Air (Rivaflecha)
CLF,Bristol Flying Centre
CLN,Barnes Olsen Aeroleasing
CPJ,Baltimore Air Transport
CXS,Boston-Maine Airways
DAT,Brussels Airlines
EAH,Baltimore Airways
EBA,Bond Aviation
EXB,Brazilian Army Aviation
EXP,Business Express Delivery
FOS,Bel Limited
HAW,Bangkok Aviation Center
HAX,Benair
IBB,Binter Canarias
IRJ,Bonyad Airlines
IVR,Burundaiavia
JOR,Blue Air
LAJ,British Mediterranean Airways
LBY,Belle Air
LED,Blom Geomatics
LTL,Benin Littoral Airways
LXJ,Bombardier Business Jet Solutions
LZB,Bulgaria Air
MBR,Brazilian Navy Aviation
NKF,Barents AirLink
NYB,Belgian Navy
OGJ,Bakoji Airlines Services
PEB,Benders Air
PNT,Balmoral Central Contracts
POI,BGB Air
PPS,Butte Aviation
RHD,Bond Air Services
RLR,Business Airfreight
RPX,BAC Express Airlines
RRS,Boscombe Down DERA (Formation)
SCJ,Business Jet Sweden
SHT,British Airways Shuttle
SKH,British Sky Broadcasting
TXB,Bell Helicopter Textron
UKA,Buzzaway Limited
VLX,Biz Jet Charter
VOL,Blue Chip Jet
WFD,BAE Systems
WTN,BAE Systems
XBO,Baseops International
XDA,Bureau Veritas
XMS,British Airways
ZBA,Boskovic Air Charters Limited
SRJ,C Air Jet Airlines
ORO,C N Air
TIP,C and M Aviation
RWG,C&M Airways
RMU,C.S.P.
CBI,CABI
CPI,CAI
ICL,CAL Cargo Air Lines
CMR,CAM Air Management
CTZ,CATA L
CCF,CCF Manager Airline
CED,CEDTA (Compania Ecuatoriana De Transportes Aereos)
HBI,CHC Denmark
HEM,CHC Helicopters
SCH,CHC Airways
HKS,CHC Helikopter Service
VCI,CI-Tours
CKC,CKC Services
CMZ,CM Stair
CNT,CNET
OAP,COAPA AIR
PDR,COMAV
CRH,CRI Helicopters Mexico
IRO,CSA Air
CSE,CSE Aviation
CTQ,CTK Network Aviation
CBR,Cabair College of Air Training
CVE,Cabo Verde Express
CWD,Caernarfon Airworld
CCE,Cairo Air Transport Company
CGC,Cal Gulf Aviation
REZ,Cal-West Aviation
CSL,California Air Shuttle
CLI,Calima Aviacion
CAV,Calm Air
CAM,Camai Air
KHM,Cambodia Airlines
UYC,Cameroon Airlines
HSO,Campania Helicopteros De Transporte
CJA,CanJet
PIL,Canada Jet Charters
CDN,Canadian Airlines
CTG,Canadian Coast Guard
HIA,Canadian Eagle Aviation
CFC,Canadian Forces
BZD,Canadian Global Air Ambulance
CDN,Canadian Helicopters
TKR,Canadian Interagency Forest Fire Centre
XNC,Canadian National Telecommunications
MPE,Canadian North
CDR,Canadian Regional Airlines
CWH,Canadian Warplane Heritage Museum
CWA,Canadian Western Airlines
CWW,Canair
CUI,Cancun Air
KAP,Cape Air
CTO,Cape Air Transport
SEM,Cape Central Airways
CMY,Cape Smythe Air
CPX,Capital Air Service
CPD,Capital Airlines
NCP,Capital Airlines Limited
CCI,Capital Cargo International Airlines
CCQ,Capital City Air Carriers
EGL,Capital Trading Aviation
CEX,Capitol Air Express
CWZ,Capitol Wings Airline
VAN,Caravan Air
CWN,Cardiff Wales Flying Club
FVA,Cardinal/Air Virginia
GOL,Cardolaar
CDI,Cards Air Services
CFH,Care Flight
CDM,Carga Aerea Dominicana
EST,Carga Express Internacional
GGC,Cargo 360
MCX,Cargo Express
CRV,Cargo Ivoire
CLM,Cargo Link (Caribbean)
CTW,Cargo Three
CRG,Cargoitalia
CJT,Cargojet Airways
CLX,Cargolux
CGM,Cargoman
DEL,Carib Aviation
BCB,Carib Express
CBC,Caribair
DCC,Caribbean Air Cargo
CLT,Caribbean Air Transport
BWA,Caribbean Airlines
IQQ,Caribbean Airways
TLC,Caribbean Express
GFI,Caribbean Star Airlines
CRT,Caribintair
CVG,Carill Aviation
KRP,Carpatair
CRR,Carranza
ULS,Carroll Air Service
CMT,Casement Aviation
CSO,Casino Airline
CSP,Casper Air Service
CPN,Caspian Airlines
CSJ,Castle Aviation
CAZ,Cat Aviation
CBT,Catalina Flying Boats
TEX,Catex
CPA,Cathay Pacific
CJR,Caverton Helicopters
CAY,Cayman Airways
CEB,Cebu Pacific
CIL,Cecil Aviation
CEG,Cega Aviation
CEC,Celtic Airways
CWE,Celtic West
CNA,Centavia
CEV,Cente D'Essais En Vol
CNL,Centennial Airlines
CNS,Centennial Flight Centre
CVO,Center Vol
CTS,Center-South
CET,Centrafrican Airlines
CAX,Central Air Express
CTL,Central Airlines
CNY,Central Airways
ACN,Central American Airlines
YOG,Central Aviation
CCG,Central Connect Airlines
DRN,Central De Discos De Reynosa
CMA,Central European Airlines
CHA,Central Flying Service
CEM,Central Mongolia Airways
GLR,Central Mountain Air
CQC,Central Queensland Aviation College
CSI,Central Skyport
CLW,Centralwings
DTV,Centre Airlines
CGS,Centre of Applied Geodynamica
CVC,Centre-Avia
CCV,Centro De Helicopteros Corporativos
ACF,Centro de Formacion Aeronautica de Canarias
CWC,Centurion Air Cargo
URY,Century Aviation
HAI,Century Aviation International
XAD,Certified Air Dispatch
CER,Cetraca Aviation Service
IRU,Chabahar Airlines
CLG,Chalair Aviation
CHK,Chalk's Ocean Airways
CLS,Challenge Air Transport
CHS,Challenge Aviation
OFF,Challenge International Airlines
CHG,AC Challenge Aero
CPH,Champagne Airlines
CCP,Champion Air
NCH,Chanchangi Airlines
CGN,Changan Airlines
CHN,Channel Island Aviation
WML,Chantilly Air
CPL,Chaparral Airlines
CSU,Chari Aviation Services
CAH,Charlan Air Charter
HMD,Charlie Hammonds Flying Service
CGD,Charlotte Air National Guard
CHW,Charter Air
HRT,Chartright Air
CHQ,Chautauqua Airlines
CBB,Cheboksary Airenterprise JSC
CHM,Chemech Aviation
CHZ,Cherline
CMK,Chernomor-Avia
CBM,Cherokee Express
CCY,Cherry Air
CAB,Chesapeake Air Service
CVR,Chevron U.S.A
CYA,Cheyenne Airways
CGO,Chicago Air
WDY,Chicago Express
RAT,Chief Rat Flight Services
CCH,Chilchota Taxi Aereo
DES,Chilcotin Caribou Aviation
CAD,Chilliwack Aviation
ETN,Chim-Nir Aviation
CAL,China Airlines
CKK,China Cargo Airlines
CES,China Eastern Airlines
HXA,China Express Airlines
CFA,China Flying Dragon Aviation
CTH,China General Aviation Corporation
CAG,China National Aviation Corporation
CBF,China Northern Airlines
CNW,China Northwest Airlines
CHC,China Ocean Helicopter Corporation
CYZ,China Postal Airlines
CSN,China Southern Airlines
CXN,China Southwest Airlines
CUA,China United Airlines
CXH,China Xinhua Airlines
CYH,Yunnan Airlines
CGU,Chinguetti Airlines
CEP,Chipola Aviation
CPW,Chippewa Air Commuter
CHF,Chitaavia
CAS,Christman Air System
OEC,Christophorus Flugrettungsverein
CHO,Chrome Air Services
CHU,Church Aircraft
CIU,Cielos Airlines
CIM,Cimber Air
RRU,Cirrus
NTS,Cirrus Air
RUS,Cirrus Airlines
JTI,Cirrus Middle East
FIV,Citationshares
XCX,Citibank
HZX,Citic General Aviation
SDR,City Airline
CIX,City Connexion Airlines
XBG,City of Bangor
BCY,CityJet
CAQ,Cityair (Chester) Limited
CII,Cityfly
CFE,BA CityFlyer
CNB,Cityline Hungary
HSR,Citylink Airlines
CIW,Civair Airways
BKR,Civil Air Patrol South Carolina Wing
CAT,Civil Air Transport
CIA,Civil Aviation Authority
CIV,Civil Aviation Authority of New Zealand
CBA,Civil Aviation Inspectorate of the Czech Republic
FMC,Claessens International Limited
CLK,Clark Aviation
CSF,Clasair
CLY,Clay Lacy Aviation
CGK,Click Airways
CLZ,Cloud 9 Air Charters
CLD,Clowes Estates Limited
SDJ,Club 328
ISG,Club Air
CST,Coast Air
,Coastal Air
TCL,Coastal Air Transport
CNG,Coastal Airways
CSV,Coastal Travels
CHL,Cohlmia Aviation
OLR,Colaereos
CLE,Colemill Enterprises
CJC,Colgan Air
CAE,Colibri Aviation
CCX,Colt International
COL,Columbia Airlines
WCO,Columbia Helicopters
KLR,Columbus Air Transport
GHP,Colvin Aviation
COM,Comair
CAW,Comair
CDE,Comed Group
CVV,Comeravia
CRS,Comercial Aerea
CMG,Comet Airlines
FYN,Comfort Air
CLA,Comlux Aviation
CMH,Commair Aviation
CTM,Commandement Du Transport Aerien Militaire Francais
CML,Commander Air Charter
CRM,Commander Mexicana
CMS,Commercial Aviation
GAR,Commodore Aviation
CJS,Commonwealth Jet Service
UCA,CommutAir
CWK,Comores Airlines
CGR,Compagnia Generale Ripreseaeree
CMM,Compagnie Aerienne du Mali
CPM,Compagnie Mauritanienne Des Transports
GIC,Compagnie de Bauxites de Guinee
AIF,Compania Aerea de Valencia
ATF,Compania Aerotecnicas Fotograficas
ASU,Compania Boliviana de Transporte Aereo Privado Aerosur
LCT,Compania De Actividades Y Servicios De Aviacion
EJV,Compania Ejecutiva
HSE,Compania Helicopteros Del Sureste
MDR,Compania Mexicana De Aeroplanos
MXC,Compania Mexicargo
HSS,Compania Transportes Aereos Del Sur
TAV,Compania de Servicios Aereos Tavisa
CYF,Company Flight
CPZ,Compass Airlines
CPS,Compass International Airways
XCO,Compuflight Operations Service
XCS,Compuserve Incorporated
CRC,Conair Aviation
COD,Concordavia
CNR,Condor Aero Services
CIB,Condor
CFG,Condor Flugdienst
COF,Confort Air
CAK,Congo Air
CGA,Congressional Air
ROY,Conifair Aviation
BSN,Connectair Charters
CAC,Conquest Airlines
CXO,Conroe Aviation Services
CHP,Consorcio Aviaxsa
VCH,Consorcio Helitec
UZA,Constanta Airline
KIS,Contact Air
XCL,Contel ASC
COA,Continental Airlines
PVV,Continental Airways
,Continental Express
CMI,Continental Micronesia
CON,Continental Oil
VCV,Conviasa
CKA,Cook Inlet Aviation
SVY,Cooper Aerial Surveys
CMP,Copa Airlines
CAT,Copenhagen Airtaxi
COP,Copper State Air Service
AAQ,Copterline
CCW,Coptrade Air Transport
CAI,Corendon Airlines
CRA,Coronado Aerolineas
CPB,Corpac Canada
CNC,Corporacion Aereo Cencor
CPG,Corporacion Aeroangeles
CGY,Corporacion Paraguaya De Aeronautica
CPT,Corporate Air
CPR,Corporate Air
CPO,Corporate Aircraft Company
COO,Corporate Airlink
CKE,Corporate Aviation Services
VHT,Corporate Flight International
VTE,Corporate Flight Management
CJI,Corporate Jets
CRL,Corsairfly
CCM,Corse-Mediterranee
COZ,Cosmic Air
CHI,Cougar Helicopters
MGB,Coulson Flying Service
NSW,Country Connection Airlines
CIK,Country International Airlines
CSD,Courier Services
CUT,Court Helicopters
CVL,Coval Air
COW,Cowi
COY,Coyne Aviation
CFD,Cranfield University
CRE,Cree Airways
ELM,Crelam
CAN,Crest Aviation
KRM,Crimea Universal Avia
CTN,Croatia Airlines
HRZ,Croatian Air Force
CRX,Cross Aviation
ECC,Crossair Europe
CWX,Crow Executive Air
CKR,Crown Air Systems
CRO,Crown Airways
CRW,Crownair
VCR,Cruiser Linhas Aereas
CTY,Cryderman Air Service
CYT,Crystal Shamrock
CUB,Cubana de Aviación
CBL,Cumberland Airways (Nicholson Air Service)
CTT,Custom Air Transport
RGN,Cygnus Air
CYC,Cyprair Tours
CYS,Cypress Airlines
CYP,Cyprus Airways
,Cyprus Turkish Airlines
CEF,Czech Air Force
AHD,Czech Air Handling
CSA,Czech Airlines
CIE,Czech Government Flying Service
DDA,D & D Aviation
DNK,D&K Aviation
DHE,DAP Helicopteros
VLF,DFS UK Limited
DSR,DAS Air Cargo
RKC,DAS Airlines
DTR,DAT Danish Air Transport
ENT,DAT Enterprise Limited
BDN,DERA Boscombe Down
DSN,DESNA
DET,DETA Air
DGO,DGO Jet
DAE,DHL Aero Expreso
DHK,DHL Air
DHV,DHL Aviation
DHX,DHL International
JOS,DHL de Guatemala
RSK,DSWA
DAO,Daallo Airlines
DAG,Dagestan Airlines
DHA,Dahla Airlines
DCS,Daimler Chrysler Aviation
DCX,Daimler-Chrysler
DKA,Daka
DLR,Dala Air Services
KHB,Dalavia
DXP,Dallas Express Airlines
DAS,Damascene Airways
DSA,Danbury Airways
DOP,Dancopter
DAF,Danish Air Force
DAR,Danish Army
DNY,Danish Navy
DNU,Danu Oro Transportas
DRT,Darta
DWT,Darwin Airline
DSQ,Dasab Airlines
DSH,Dash Air Charter
GOB,Dash Aviation
DGX,Dasnair
DAB,Dassault Aviation
CVF,Dassault Falcon Jet Corporation
DSO,Dassault Falcon Service
DTN,Data International
XDT,Date Transformation Corp
DAU,Dauair
DCO,David Crawshaw Consultants Limited
DWN,Dawn Air
DJS,DayJet
DAY,Daya Aviation
DHC,De Havilland
IAY,Deadalos Flugtbetriebs
DAA,Decatur Aviation
DKN,Deccan Aviation
DLK,Deccan Aviation (Lanka)
DER,Deer Jet
JDC,Deere and Company
DWR,Delaware Skyways
DEA,Delta Aerotaxi
SNO,Delta Air Charter
ELJ,Delta Air Elite
DAL,Delta Air Lines
KMB,Delta Engineering Aviation
DLI,Delta Express International
DSU,Delta State University
DNM,Denim Air
FEC,Denver Express
DJT,Denver Jet
FGC,Departmento De Agricultura De La Generalitat De Cataluna
DRY,Deraya Air Taxi
DRX,Des R Cargo Express
MIZ,Desarrollo Milaz
DTY,Destiny Air Services
,Deutsche Bahn
AMB,Deutsche Rettungsflugwacht
LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV
DIS,Di Air
SPK,Diamond Aviation
DRB,Didier Rousset Buy
DGT,Digital Equipment Corporation
RDN,Dinar
DIP,Diplomatic Freight Services
ENA,Direccion General de Aviacion Civil y Telecomunicasciones
DIA,Direct Air
XAP,Direct Air trading as Midway Connection
DCT,Direct Flight
SXP,Sky Express
DIR,Dirgantara Air Service
DCV,Discover Air
DVA,Discovery Airways
XDS,Dispatch Services
DIX,Dix Aviation
DEE,Dixie Airways
DJB,Djibouti Airlines
UDN,Dniproavia
FDN,Flying Dolphin Airlines
IXX,Dolphin Express Airlines
DPL,Dome Petroleum
MYO,Dominguez Toledo (Grupo Mayoral)
DOA,Dominicana de Aviaci
DMO,Domodedovo Airlines
DVB,Don Avia
DON,Donair Flying Club
UDC,DonbassAero
DAD,Dorado Air
DOR,Dornier
DAV,Dornier Aviation Nigeria
DOM,Dos Mundos
HDA,Dragonair
DCA,Dreamcatcher Airways
DRK,Druk Air
DRE,Drummond Island Air
DUB,Dubai Airwing
DBK,Dubrovnik Air
DUK,Ducair
DBJ,Duchess of Britany (Jersey) Limited
LPD,UK Royal/HRH Duke of York
DUN,Dun'Air
PHD,Duncan Aviation
VVF,Dunyaya Bakis Hava Tasimaciligi
DUO,Duo Airways
DJE,Durango Jet
DNL,Dutch Antilles Express
DCE,Dutch Caribbean Express
DBR,Dutchbird
DFS,Dwyer Aircraft Services
XDY,Dynair Services
DNR,Dynamair Aviation
DYE,Dynamic Air
BAG,dba
EHD,E H Darby Aviation
,Electronic Data Systems
1Y,Electronic Data Systems
EAD,EAA Escola De Aviacao Aerocondor
EXW,Executive Airlines Services
EFS,EFAOS- Agencia De Viagens e Turismo
EFD,EFD Eisele Flugdienst
FSD,EFS-Flugservice
EIS,EIS Aircraft
IAG,EPAG Groupe Air France
ESI,ESI Eliservizi Italiani
EUY,EU Airways
EUJ,EUjet
EVA,EVA Air
ICR,Eagle Aero
EGR,Eagle Air
,Eagle Air
EGX,Eagle Air Company
